"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#1C9AD6","Edmond, L.","112","-24","0","0","24","-8","34","-12","30","24"
"2","#1C9AD6","Nwanebu, E.","104","-48","0","0","12","-16","0","0","60","12"
"3","#1C9AD6","Lichtman, C.","80","-12","0","0","0","0","28","-12","35","24"
"4","#1C9AD6","Clark, T.","0","0","2","0","0","0","20","0","80","0"
"5","#1C9AD6","Morgan, T.","56","-12","0","0","0","0","0","0","25","24"
"6","#1C9AD6","Nichol, V.","16","0","14","0","0","0","0","0","25","12"
"7","#1C9AD6","Sandbothe, T.","72","-12","0","0","0","-8","0","0","10","0"
"8","#1C9AD6","Bruns, T.","8","-12","32","0","0","0","0","0","10","0"
"9","#1C9AD6","Freeman, S.","0","0","0","0","0","0","0","0","5","12"
"10","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"11","#1C9AD6","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"12","#DAAA00","McCage, M.","88","0","1","0","0","0","0","0","20","12"
"13","#DAAA00","Cruz, A.","128","-60","0","0","12","-8","12","0","30","0"
"14","#DAAA00","Seliger-Swenson, S.","8","0","36","0","0","0","0","0","55","0"
"15","#DAAA00","Tupac, K.","0","0","0","0","0","0","34","0","60","0"
"16","#DAAA00","Carter, K.","48","-24","1","0","0","0","0","0","35","0"
"17","#DAAA00","Abbott, S.","24","-12","0","0","0","0","10","-12","25","0"
"18","#DAAA00","Fairs, E.","32","-72","2","0","12","-8","32","0","35","0"
"19","#DAAA00","Lohman, M.","0","0","0","0","0","0","0","0","0","24"
"20","#DAAA00","Handley, E.","0","0","2","0","0","0","0","0","10","0"
"21","#DAAA00","Wieser, K.","0","0","0","0","0","-8","0","0","5","12"
"22","#DAAA00","Johnson, W.","24","-48","0","0","0","0","0","0","20","0"
