"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#1C9AD6","Edmond, L.","120","60"
"2","#1C9AD6","Nwanebu, E.","120","60"
"3","#1C9AD6","Lichtman, C.","120","60"
"4","#1C9AD6","Clark, T.","120","60"
"5","#1C9AD6","Morgan, T.","120","60"
"6","#1C9AD6","Nichol, V.","120","60"
"7","#1C9AD6","Sandbothe, T.","120","60"
"8","#1C9AD6","Bruns, T.","120","60"
"9","#1C9AD6","Freeman, S.","120","60"
"10","#1C9AD6","Michel, C.","120","60"
"11","#1C9AD6","Wilson, E.","120","60"
"12","#DAAA00","McCage, M.","0","0"
"13","#DAAA00","Cruz, A.","0","0"
"14","#DAAA00","Seliger-Swenson, S.","0","0"
"15","#DAAA00","Tupac, K.","0","0"
"16","#DAAA00","Carter, K.","0","0"
"17","#DAAA00","Abbott, S.","0","0"
"18","#DAAA00","Fairs, E.","0","0"
"19","#DAAA00","Lohman, M.","0","0"
"20","#DAAA00","Handley, E.","0","0"
"21","#DAAA00","Wieser, K.","0","0"
"22","#DAAA00","Johnson, W.","0","0"
