"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","Larson, J.","60","0","0"
"2","#8C4799","Lowe, K.","0","40","0"
"3","#8C4799","Gibbemeyer, L.","0","0","20"
"4","#8C4799","Sybeldon, L.","0","0","0"
"5","#8C4799","Manns, K.","0","0","0"
"6","#8C4799","McClendon, D.","0","0","0"
"7","#8C4799","Rosado, D.","0","0","0"
"8","#FF8F28","Atkinson, S.","0","0","0"
"9","#FF8F28","King, B.","0","0","0"
"10","#8C4799","Aliyeva, O.","0","0","0"
"11","#8C4799","Holston, A.","0","0","0"
"12","#8C4799","Hunter, K.","0","0","0"
"13","#FF8F28","Vélez Agosto, N.","0","0","0"
"14","#FF8F28","Crocker, C.","0","0","0"
"15","#FF8F28","De La Cruz, B.","0","0","0"
"16","#FF8F28","Stalzer, L.","0","0","0"
"17","#FF8F28","Grant, N.","0","0","0"
"18","#FF8F28","Peterson, A.","0","0","0"
"19","#FF8F28","Bastianelli, A.","0","0","0"
"20","#FF8F28","Castro, S.","0","0","0"
"21","#FF8F28","Toliver, H.","0","0","0"
