"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","Larson, J.","96","-24","1","0","24","0","12","0","60","0"
"2","#8C4799","Lowe, K.","104","-60","1","0","0","0","0","0","55","24"
"3","#8C4799","Gibbemeyer, L.","80","-12","1","0","0","0","0","0","5","36"
"4","#8C4799","Sybeldon, L.","32","0","0","0","12","-16","0","0","30","24"
"5","#8C4799","Manns, K.","8","0","31","0","0","0","0","0","20","0"
"6","#8C4799","McClendon, D.","48","-48","3","0","0","-8","34","-12","40","0"
"7","#8C4799","Rosado, D.","0","0","0","0","0","0","20","-12","35","0"
"8","#FF8F28","Atkinson, S.","120","-48","0","0","0","0","0","0","45","12"
"9","#FF8F28","King, B.","16","0","30","0","0","0","0","0","50","12"
"10","#8C4799","Aliyeva, O.","0","0","0","0","0","0","0","0","0","0"
"11","#8C4799","Holston, A.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Hunter, K.","0","0","0","0","0","0","0","0","0","0"
"13","#FF8F28","Vélez Agosto, N.","0","0","1","0","0","0","22","0","50","0"
"14","#FF8F28","Crocker, C.","24","0","0","-12","12","-8","0","0","5","48"
"15","#FF8F28","De La Cruz, B.","88","-60","1","0","12","-24","26","-12","30","0"
"16","#FF8F28","Stalzer, L.","40","-48","0","0","0","0","22","-12","40","12"
"17","#FF8F28","Grant, N.","16","0","0","0","0","0","0","0","5","24"
"18","#FF8F28","Castro, S.","0","12","0","0","0","0","0","0","0","0"
"19","#FF8F28","Peterson, A.","0","0","0","0","0","0","0","0","5","0"
"20","#FF8F28","Bastianelli, A.","0","0","0","0","0","0","0","0","0","0"
"21","#FF8F28","Toliver, H.","0","-12","0","0","0","-8","14","-12","15","0"
