"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","Larson, J.","80","60"
"2","#8C4799","Lowe, K.","80","60"
"3","#8C4799","Gibbemeyer, L.","80","60"
"4","#8C4799","Sybeldon, L.","80","60"
"5","#8C4799","Manns, K.","80","60"
"6","#8C4799","McClendon, D.","80","60"
"7","#8C4799","Rosado, D.","80","60"
"8","#FF8F28","Atkinson, S.","40","0"
"9","#FF8F28","King, B.","40","0"
"10","#8C4799","Aliyeva, O.","80","60"
"11","#8C4799","Holston, A.","80","60"
"12","#8C4799","Hunter, K.","80","60"
"13","#FF8F28","Vélez Agosto, N.","40","0"
"14","#FF8F28","Crocker, C.","40","0"
"15","#FF8F28","De La Cruz, B.","40","0"
"16","#FF8F28","Stalzer, L.","40","0"
"17","#FF8F28","Grant, N.","40","0"
"18","#FF8F28","Peterson, A.","40","0"
"19","#FF8F28","Bastianelli, A.","40","0"
"20","#FF8F28","Castro, S.","40","0"
"21","#FF8F28","Toliver, H.","40","0"
