"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","Larson, J.","60","0","0"
"2","#8C4799","Sybeldon, L.","0","0","20"
"3","#8C4799","Lowe, K.","0","0","0"
"4","#8C4799","Manns, K.","0","0","0"
"5","#DAAA00","McCage, M.","0","40","0"
"6","#8C4799","Rosado, D.","0","0","0"
"7","#8C4799","Gibbemeyer, L.","0","0","0"
"8","#8C4799","Hunter, K.","0","0","0"
"9","#8C4799","Holston, A.","0","0","0"
"10","#8C4799","McClendon, D.","0","0","0"
"11","#8C4799","Aliyeva, O.","0","0","0"
"12","#DAAA00","Tupac, K.","0","0","0"
"13","#DAAA00","Seliger-Swenson, S.","0","0","0"
"14","#DAAA00","Cruz, A.","0","0","0"
"15","#DAAA00","Carter, K.","0","0","0"
"16","#DAAA00","Abbott, S.","0","0","0"
"17","#DAAA00","Johnson, W.","0","0","0"
"18","#DAAA00","Handley, E.","0","0","0"
"19","#DAAA00","Wieser, K.","0","0","0"
"20","#DAAA00","Lohman, M.","0","0","0"
"21","#DAAA00","Fairs, E.","0","0","0"
