"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","Larson, J.","112","-60","1","0","0","0","18","0","50","12"
"2","#8C4799","Sybeldon, L.","56","0","0","0","12","0","0","0","15","48"
"3","#8C4799","Lowe, K.","112","-48","2","0","0","-16","0","0","25","24"
"4","#8C4799","Manns, K.","0","0","32","0","0","0","0","0","45","0"
"5","#DAAA00","McCage, M.","64","0","0","0","0","-16","0","0","10","72"
"6","#8C4799","Rosado, D.","0","0","3","0","0","0","16","-24","45","0"
"7","#8C4799","Gibbemeyer, L.","48","-12","0","0","0","-16","0","0","5","12"
"8","#8C4799","Hunter, K.","0","0","2","0","0","0","0","0","10","0"
"9","#8C4799","Holston, A.","0","0","0","0","0","0","0","0","5","0"
"10","#8C4799","McClendon, D.","24","-60","0","0","0","0","36","-36","40","0"
"11","#8C4799","Aliyeva, O.","0","0","0","0","0","0","0","0","0","0"
"12","#DAAA00","Seliger-Swenson, S.","24","-24","23","0","12","0","0","0","55","0"
"13","#DAAA00","Tupac, K.","0","0","4","0","0","0","26","-12","70","0"
"14","#DAAA00","Cruz, A.","72","-84","1","0","24","0","12","0","40","12"
"15","#DAAA00","Carter, K.","64","-24","0","0","0","-8","0","0","40","0"
"16","#DAAA00","Abbott, S.","80","-60","2","0","0","-24","22","0","40","0"
"17","#DAAA00","Johnson, W.","0","0","0","0","12","0","0","0","0","0"
"18","#DAAA00","Handley, E.","0","0","6","0","0","0","0","0","0","0"
"19","#DAAA00","Wieser, K.","8","-12","0","0","0","-8","0","0","5","12"
"20","#DAAA00","Lohman, M.","0","0","0","0","0","0","0","0","0","0"
"21","#DAAA00","Fairs, E.","0","0","0","0","12","-16","0","0","0","0"
