"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","Larson, J.","80","60"
"2","#8C4799","Sybeldon, L.","80","60"
"3","#8C4799","Lowe, K.","80","60"
"4","#8C4799","Manns, K.","80","60"
"5","#DAAA00","McCage, M.","40","0"
"6","#8C4799","Rosado, D.","80","60"
"7","#8C4799","Gibbemeyer, L.","80","60"
"8","#8C4799","Hunter, K.","80","60"
"9","#8C4799","Holston, A.","80","60"
"10","#8C4799","McClendon, D.","80","60"
"11","#8C4799","Aliyeva, O.","80","60"
"12","#DAAA00","Tupac, K.","40","0"
"13","#DAAA00","Seliger-Swenson, S.","40","0"
"14","#DAAA00","Cruz, A.","40","0"
"15","#DAAA00","Carter, K.","40","0"
"16","#DAAA00","Abbott, S.","40","0"
"17","#DAAA00","Johnson, W.","40","0"
"18","#DAAA00","Handley, E.","40","0"
"19","#DAAA00","Wieser, K.","40","0"
"20","#DAAA00","Lohman, M.","40","0"
"21","#DAAA00","Fairs, E.","40","0"
