"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","De La Cruz, B.","60","0","0"
"2","#FF8F28","Crocker, C.","0","40","0"
"3","#FF8F28","King, B.","0","0","0"
"4","#FF8F28","Stalzer, L.","0","0","0"
"5","#FF8F28","Vélez Agosto, N.","0","0","0"
"6","#1C9AD6","Lichtman, C.","0","0","0"
"7","#FF8F28","Atkinson, S.","0","0","0"
"8","#1C9AD6","Nwanebu, E.","0","0","20"
"9","#FF8F28","Castro, S.","0","0","0"
"10","#FF8F28","Bastianelli, A.","0","0","0"
"11","#FF8F28","Peterson, A.","0","0","0"
"12","#FF8F28","Toliver, H.","0","0","0"
"13","#FF8F28","Grant, N.","0","0","0"
"14","#1C9AD6","Clark, T.","0","0","0"
"15","#1C9AD6","Edmond, L.","0","0","0"
"16","#1C9AD6","Sandbothe, T.","0","0","0"
"17","#1C9AD6","Bruns, T.","0","0","0"
"18","#1C9AD6","Morgan, T.","0","0","0"
"19","#1C9AD6","Freeman, S.","0","0","0"
"20","#1C9AD6","Nichol, V.","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0"
"22","#1C9AD6","Wilson, E.","0","0","0"
