"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","De La Cruz, B.","168","-12","0","0","0","-8","18","0","40","24"
"2","#FF8F28","Crocker, C.","40","0","2","0","12","0","0","0","15","36"
"3","#FF8F28","King, B.","8","0","44","0","12","-8","0","0","60","12"
"4","#FF8F28","Stalzer, L.","64","-24","0","0","0","-8","46","-12","35","0"
"5","#FF8F28","Vélez Agosto, N.","0","0","1","0","0","0","18","0","80","0"
"6","#1C9AD6","Lichtman, C.","48","0","2","0","12","0","22","0","65","0"
"7","#FF8F28","Atkinson, S.","24","-12","0","0","0","-8","0","0","20","12"
"8","#1C9AD6","Nwanebu, E.","104","-48","1","0","0","-8","0","0","30","12"
"9","#FF8F28","Castro, S.","40","-48","1","0","0","0","0","0","15","0"
"10","#FF8F28","Bastianelli, A.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Peterson, A.","0","0","0","0","0","0","0","0","0","0"
"12","#FF8F28","Toliver, H.","0","0","0","0","0","-16","0","0","5","0"
"13","#FF8F28","Grant, N.","56","-60","0","-12","0","0","0","0","0","0"
"14","#1C9AD6","Clark, T.","0","0","3","0","0","0","32","-12","55","0"
"15","#1C9AD6","Edmond, L.","88","-60","0","0","0","-8","24","-12","20","24"
"16","#1C9AD6","Sandbothe, T.","16","-12","1","0","12","-8","0","0","15","24"
"17","#1C9AD6","Bruns, T.","8","0","31","0","0","-8","0","0","15","0"
"18","#1C9AD6","Morgan, T.","24","0","0","0","0","-8","0","0","10","0"
"19","#1C9AD6","Freeman, S.","24","0","0","0","0","0","0","0","0","0"
"20","#1C9AD6","Nichol, V.","0","0","0","0","0","0","0","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"22","#1C9AD6","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
