"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","De La Cruz, B.","80","60"
"2","#FF8F28","Crocker, C.","80","60"
"3","#FF8F28","King, B.","80","60"
"4","#FF8F28","Stalzer, L.","80","60"
"5","#FF8F28","Vélez Agosto, N.","80","60"
"6","#1C9AD6","Lichtman, C.","40","0"
"7","#FF8F28","Atkinson, S.","80","60"
"8","#1C9AD6","Nwanebu, E.","40","0"
"9","#FF8F28","Castro, S.","80","60"
"10","#FF8F28","Bastianelli, A.","80","60"
"11","#FF8F28","Peterson, A.","80","60"
"12","#FF8F28","Toliver, H.","80","60"
"13","#FF8F28","Grant, N.","80","60"
"14","#1C9AD6","Clark, T.","40","0"
"15","#1C9AD6","Edmond, L.","40","0"
"16","#1C9AD6","Sandbothe, T.","40","0"
"17","#1C9AD6","Bruns, T.","40","0"
"18","#1C9AD6","Morgan, T.","40","0"
"19","#1C9AD6","Freeman, S.","40","0"
"20","#1C9AD6","Nichol, V.","40","0"
"21","#1C9AD6","Michel, C.","40","0"
"22","#1C9AD6","Wilson, E.","40","0"
