"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","Lowe, K.","60","0","0"
"2","#8C4799","Larson, J.","0","40","0"
"3","#1C9AD6","Edmond, L.","0","0","20"
"4","#8C4799","Gibbemeyer, L.","0","0","0"
"5","#8C4799","Manns, K.","0","0","0"
"6","#8C4799","Rosado, D.","0","0","0"
"7","#8C4799","Sybeldon, L.","0","0","0"
"8","#8C4799","Hunter, K.","0","0","0"
"9","#8C4799","Holston, A.","0","0","0"
"10","#8C4799","Aliyeva, O.","0","0","0"
"11","#8C4799","McClendon, D.","0","0","0"
"12","#1C9AD6","Lichtman, C.","0","0","0"
"13","#1C9AD6","Sandbothe, T.","0","0","0"
"14","#1C9AD6","Nwanebu, E.","0","0","0"
"15","#1C9AD6","Bruns, T.","0","0","0"
"16","#1C9AD6","Clark, T.","0","0","0"
"17","#1C9AD6","Morgan, T.","0","0","0"
"18","#1C9AD6","Wilson, E.","0","0","0"
"19","#1C9AD6","Freeman, S.","0","0","0"
"20","#1C9AD6","Nichol, V.","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0"
