"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","Lowe, K.","128","-24","0","0","0","-16","0","0","20","24"
"2","#8C4799","Larson, J.","96","-12","3","0","12","0","12","-12","40","0"
"3","#1C9AD6","Edmond, L.","72","-12","0","0","36","-8","32","-12","40","12"
"4","#8C4799","Gibbemeyer, L.","32","0","1","0","24","-8","0","0","0","24"
"5","#8C4799","Manns, K.","8","0","25","0","0","-16","0","0","40","0"
"6","#8C4799","Rosado, D.","0","0","2","0","0","0","30","-60","60","0"
"7","#8C4799","Sybeldon, L.","32","-24","0","0","12","0","2","0","5","0"
"8","#8C4799","Hunter, K.","0","0","6","0","0","0","0","0","15","0"
"9","#8C4799","Holston, A.","16","-12","0","0","0","0","0","0","0","0"
"10","#8C4799","Aliyeva, O.","0","0","0","0","0","0","0","0","0","0"
"11","#8C4799","McClendon, D.","24","-72","0","0","0","0","16","-12","40","0"
"12","#1C9AD6","Lichtman, C.","40","-36","0","0","12","0","32","-12","45","0"
"13","#1C9AD6","Sandbothe, T.","40","-12","0","0","24","-8","0","0","5","24"
"14","#1C9AD6","Nwanebu, E.","104","-84","1","0","12","0","0","0","35","0"
"15","#1C9AD6","Bruns, T.","0","-12","28","0","12","0","0","0","35","0"
"16","#1C9AD6","Clark, T.","0","0","1","0","0","0","14","-12","35","0"
"17","#1C9AD6","Morgan, T.","8","0","0","0","0","0","0","0","10","12"
"18","#1C9AD6","Wilson, E.","0","0","0","0","12","0","0","0","0","0"
"19","#1C9AD6","Freeman, S.","0","0","0","0","0","0","0","0","5","0"
"20","#1C9AD6","Nichol, V.","0","0","0","0","0","0","0","0","0","0"
"21","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
