"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","Lowe, K.","80","60"
"2","#8C4799","Larson, J.","80","60"
"3","#1C9AD6","Edmond, L.","40","0"
"4","#8C4799","Gibbemeyer, L.","80","60"
"5","#8C4799","Manns, K.","80","60"
"6","#8C4799","Rosado, D.","80","60"
"7","#8C4799","Sybeldon, L.","80","60"
"8","#8C4799","Hunter, K.","80","60"
"9","#8C4799","Holston, A.","80","60"
"10","#8C4799","Aliyeva, O.","80","60"
"11","#8C4799","McClendon, D.","80","60"
"12","#1C9AD6","Lichtman, C.","40","0"
"13","#1C9AD6","Sandbothe, T.","40","0"
"14","#1C9AD6","Nwanebu, E.","40","0"
"15","#1C9AD6","Bruns, T.","40","0"
"16","#1C9AD6","Clark, T.","40","0"
"17","#1C9AD6","Morgan, T.","40","0"
"18","#1C9AD6","Wilson, E.","40","0"
"19","#1C9AD6","Freeman, S.","40","0"
"20","#1C9AD6","Nichol, V.","40","0"
"21","#1C9AD6","Michel, C.","40","0"
