"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","Atkinson, S.","60","0","0"
"2","#FF8F28","De La Cruz, B.","0","40","0"
"3","#FF8F28","King, B.","0","0","0"
"4","#FF8F28","Stalzer, L.","0","0","0"
"5","#DAAA00","McCage, M.","0","0","20"
"6","#DAAA00","Seliger-Swenson, S.","0","0","0"
"7","#DAAA00","Johnson, W.","0","0","0"
"8","#DAAA00","Tupac, K.","0","0","0"
"9","#DAAA00","Cruz, A.","0","0","0"
"10","#DAAA00","Abbott, S.","0","0","0"
"11","#FF8F28","Vélez Agosto, N.","0","0","0"
"12","#FF8F28","Castro, S.","0","0","0"
"13","#FF8F28","Crocker, C.","0","0","0"
"14","#FF8F28","Grant, N.","0","0","0"
"15","#DAAA00","Lohman, M.","0","0","0"
"16","#FF8F28","Bastianelli, A.","0","0","0"
"17","#FF8F28","Peterson, A.","0","0","0"
"18","#FF8F28","Toliver, H.","0","0","0"
"19","#DAAA00","Fairs, E.","0","0","0"
"20","#DAAA00","Handley, E.","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0"
"22","#DAAA00","Carter, K.","0","0","0"
