"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","Atkinson, S.","88","-12","0","0","0","-16","0","0","20","24"
"2","#FF8F28","De La Cruz, B.","96","-60","1","0","12","-24","24","-12","30","12"
"3","#FF8F28","King, B.","8","-12","36","0","0","-8","0","0","65","24"
"4","#FF8F28","Stalzer, L.","64","-60","0","0","0","0","30","0","45","24"
"5","#DAAA00","McCage, M.","88","-36","0","0","24","-8","0","0","10","24"
"6","#DAAA00","Seliger-Swenson, S.","8","0","40","0","12","-8","0","0","55","12"
"7","#DAAA00","Johnson, W.","88","-12","0","0","0","-8","0","0","25","12"
"8","#DAAA00","Tupac, K.","0","0","2","0","0","0","40","0","35","0"
"9","#DAAA00","Cruz, A.","80","-72","0","0","0","-8","18","0","40","12"
"10","#DAAA00","Abbott, S.","72","-60","0","0","0","-16","32","-12","50","0"
"11","#FF8F28","Vélez Agosto, N.","0","0","2","0","0","0","4","-24","60","0"
"12","#FF8F28","Castro, S.","40","-12","0","0","0","0","0","0","10","0"
"13","#FF8F28","Crocker, C.","8","-12","0","0","0","-8","0","0","10","36"
"14","#FF8F28","Grant, N.","8","0","1","0","0","0","0","0","5","0"
"15","#DAAA00","Lohman, M.","16","-12","0","0","0","-8","0","0","5","24"
"16","#FF8F28","Bastianelli, A.","0","0","0","0","0","0","0","0","0","0"
"17","#FF8F28","Peterson, A.","0","0","0","0","0","0","0","0","0","0"
"18","#FF8F28","Toliver, H.","0","0","0","0","0","-8","0","0","0","0"
"19","#DAAA00","Fairs, E.","0","0","0","0","0","0","0","0","0","0"
"20","#DAAA00","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"22","#DAAA00","Carter, K.","24","-36","0","0","0","-8","0","0","15","0"
