"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","Atkinson, S.","40","60"
"2","#FF8F28","De La Cruz, B.","40","60"
"3","#FF8F28","King, B.","40","60"
"4","#FF8F28","Stalzer, L.","40","60"
"5","#DAAA00","McCage, M.","80","0"
"6","#DAAA00","Seliger-Swenson, S.","80","0"
"7","#DAAA00","Johnson, W.","80","0"
"8","#DAAA00","Tupac, K.","80","0"
"9","#DAAA00","Cruz, A.","80","0"
"10","#DAAA00","Abbott, S.","80","0"
"11","#FF8F28","Vélez Agosto, N.","40","60"
"12","#FF8F28","Castro, S.","40","60"
"13","#FF8F28","Crocker, C.","40","60"
"14","#FF8F28","Grant, N.","40","60"
"15","#DAAA00","Lohman, M.","80","0"
"16","#FF8F28","Bastianelli, A.","40","60"
"17","#FF8F28","Peterson, A.","40","60"
"18","#FF8F28","Toliver, H.","40","60"
"19","#DAAA00","Fairs, E.","80","0"
"20","#DAAA00","Handley, E.","80","0"
"21","#DAAA00","Wieser, K.","80","0"
"22","#DAAA00","Carter, K.","80","0"
