"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","McClendon, D.","0","40","0"
"2","#FF8F28","Lowe, K.","60","0","0"
"3","#8C4799","Nwanebu, E.","0","0","20"
"4","#8C4799","De La Cruz, B.","0","0","0"
"5","#8C4799","Hunter, K.","0","0","0"
"6","#8C4799","Vélez Agosto, N.","0","0","0"
"7","#8C4799","Grant, N.","0","0","0"
"8","#8C4799","Bastianelli, A.","0","0","0"
"9","#8C4799","Freeman, S.","0","0","0"
"10","#8C4799","Wilson, E.","0","0","0"
"11","#8C4799","Peterson, A.","0","0","0"
"12","#8C4799","Lohman, M.","0","0","0"
"13","#FF8F28","Bruns, T.","0","0","0"
"14","#FF8F28","Gibbemeyer, L.","0","0","0"
"15","#FF8F28","Rosado, D.","0","0","0"
"16","#FF8F28","Crocker, C.","0","0","0"
"17","#FF8F28","Aliyeva, O.","0","0","0"
"18","#FF8F28","Handley, E.","0","0","0"
"19","#FF8F28","Carter, K.","0","0","0"
"20","#FF8F28","Holman, B.","0","0","0"
"21","#FF8F28","Fairs, E.","0","0","0"
"22","#FF8F28","Abbott, S.","0","0","0"
