"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","McClendon, D.","136","-24","0","0","12","-8","34","-24","35","12"
"2","#FF8F28","Lowe, K.","184","-24","0","0","0","0","0","0","75","0"
"3","#8C4799","Nwanebu, E.","104","-36","0","0","0","0","0","0","75","12"
"4","#8C4799","De La Cruz, B.","96","-48","0","0","0","-8","16","0","50","0"
"5","#8C4799","Hunter, K.","8","0","45","0","12","-8","0","0","35","12"
"6","#8C4799","Vélez Agosto, N.","0","0","1","0","0","0","18","0","60","0"
"7","#8C4799","Grant, N.","8","0","0","0","0","-8","0","0","0","48"
"8","#8C4799","Bastianelli, A.","40","-24","0","0","12","-32","0","0","10","36"
"9","#8C4799","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"10","#8C4799","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"11","#8C4799","Peterson, A.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Lohman, M.","0","0","0","0","0","0","0","0","0","0"
"13","#FF8F28","Bruns, T.","8","0","36","0","12","-8","0","0","30","0"
"14","#FF8F28","Rosado, D.","0","0","2","0","0","0","4","0","60","0"
"15","#FF8F28","Gibbemeyer, L.","56","-36","1","0","12","0","0","0","15","12"
"16","#FF8F28","Crocker, C.","8","-12","1","0","0","0","0","0","25","12"
"17","#FF8F28","Aliyeva, O.","40","-48","1","0","0","-8","16","0","15","12"
"18","#FF8F28","Handley, E.","0","0","1","0","0","0","0","0","0","0"
"19","#FF8F28","Carter, K.","0","0","0","0","0","0","0","0","0","0"
"20","#FF8F28","Holman, B.","0","0","0","0","0","0","0","0","0","0"
"21","#FF8F28","Fairs, E.","8","0","0","0","0","-8","10","-36","5","12"
"22","#FF8F28","Abbott, S.","40","-108","0","0","0","0","26","0","30","0"
