"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#8C4799","Nwanebu, E.","60","0","0"
"2","#8C4799","De La Cruz, B.","0","0","20"
"3","#8C4799","Hunter, K.","0","40","0"
"4","#8C4799","Vélez Agosto, N.","0","0","0"
"5","#8C4799","Bastianelli, A.","0","0","0"
"6","#1C9AD6","Edmond, L.","0","0","0"
"7","#8C4799","Grant, N.","0","0","0"
"8","#1C9AD6","King, B.","0","0","0"
"9","#8C4799","Lohman, M.","0","0","0"
"10","#8C4799","Freeman, S.","0","0","0"
"11","#8C4799","Peterson, A.","0","0","0"
"12","#8C4799","Wilson, E.","0","0","0"
"13","#1C9AD6","Clark, T.","0","0","0"
"14","#1C9AD6","Cruz, A.","0","0","0"
"15","#1C9AD6","McCage, M.","0","0","0"
"16","#8C4799","McClendon, D.","0","0","0"
"17","#1C9AD6","Atkinson, S.","0","0","0"
"18","#1C9AD6","Sandbothe, T.","0","0","0"
"19","#1C9AD6","Manns, K.","0","0","0"
"20","#1C9AD6","Michel, C.","0","0","0"
"21","#1C9AD6","Castro, S.","0","0","0"
