"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","Nwanebu, E.","88","-36","0","0","0","0","0","0","40","24"
"2","#8C4799","De La Cruz, B.","104","-12","1","0","0","-8","14","-24","55","24"
"3","#8C4799","Hunter, K.","24","0","33","0","0","0","0","0","40","36"
"4","#8C4799","Vélez Agosto, N.","0","0","1","0","0","0","16","0","50","0"
"5","#8C4799","Bastianelli, A.","48","-12","1","0","12","-24","0","0","25","0"
"6","#1C9AD6","Edmond, L.","88","-60","0","0","24","0","30","-24","80","0"
"7","#8C4799","Grant, N.","24","-12","0","0","0","0","0","0","10","12"
"8","#1C9AD6","King, B.","0","0","29","0","12","0","0","0","60","24"
"9","#8C4799","Lohman, M.","0","-12","1","0","12","0","0","0","10","0"
"10","#8C4799","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"11","#8C4799","Peterson, A.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Wilson, E.","32","-48","0","0","0","0","6","0","5","0"
"13","#1C9AD6","Clark, T.","0","0","2","0","0","0","20","0","55","0"
"14","#1C9AD6","Cruz, A.","72","-36","0","0","12","-8","10","0","20","0"
"15","#1C9AD6","McCage, M.","72","-36","0","0","0","-8","0","0","0","36"
"16","#8C4799","McClendon, D.","0","-60","0","0","0","-16","20","-24","25","12"
"17","#1C9AD6","Atkinson, S.","48","-24","0","0","0","0","0","0","0","12"
"18","#1C9AD6","Sandbothe, T.","0","-24","1","0","0","-16","0","0","25","36"
"19","#1C9AD6","Manns, K.","0","0","0","0","0","0","0","0","0","0"
"20","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"21","#1C9AD6","Castro, S.","0","-24","0","0","0","-8","0","0","20","0"
