"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","Nwanebu, E.","80","60"
"2","#8C4799","De La Cruz, B.","80","60"
"3","#8C4799","Hunter, K.","80","60"
"4","#8C4799","Vélez Agosto, N.","80","60"
"5","#8C4799","Bastianelli, A.","80","60"
"6","#1C9AD6","Edmond, L.","40","0"
"7","#8C4799","Grant, N.","80","60"
"8","#1C9AD6","King, B.","40","0"
"9","#8C4799","Lohman, M.","80","60"
"10","#8C4799","Freeman, S.","80","60"
"11","#8C4799","Peterson, A.","80","60"
"12","#8C4799","Wilson, E.","80","60"
"13","#1C9AD6","Clark, T.","40","0"
"14","#1C9AD6","Cruz, A.","40","0"
"15","#1C9AD6","McCage, M.","40","0"
"16","#8C4799","McClendon, D.","80","60"
"17","#1C9AD6","Atkinson, S.","40","0"
"18","#1C9AD6","Sandbothe, T.","40","0"
"19","#1C9AD6","Manns, K.","40","0"
"20","#1C9AD6","Michel, C.","40","0"
"21","#1C9AD6","Castro, S.","40","0"
