"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#DAAA00","Larson, J.","60","0","0"
"2","#DAAA00","Tupac, K.","0","0","0"
"3","#DAAA00","Sybeldon, L.","0","0","0"
"4","#DAAA00","Stalzer, L.","0","0","0"
"5","#DAAA00","Seliger-Swenson, S.","0","0","20"
"6","#DAAA00","Johnson, W.","0","0","0"
"7","#FF8F28","Gibbemeyer, L.","0","40","0"
"8","#FF8F28","Fairs, E.","0","0","0"
"9","#FF8F28","Lowe, K.","0","0","0"
"10","#FF8F28","Bruns, T.","0","0","0"
"11","#DAAA00","Holston, A.","0","0","0"
"12","#DAAA00","Toliver, H.","0","0","0"
"13","#DAAA00","Wieser, K.","0","0","0"
"14","#DAAA00","Pickrell, K.","0","0","0"
"15","#DAAA00","Morgan, T.","0","0","0"
"16","#FF8F28","Crocker, C.","0","0","0"
"17","#FF8F28","Abbott, S.","0","0","0"
"18","#FF8F28","Rosado, D.","0","0","0"
"19","#FF8F28","Aliyeva, O.","0","0","0"
"20","#FF8F28","Carter, K.","0","0","0"
"21","#FF8F28","Handley, E.","0","0","0"
"22","#FF8F28","Holman, B.","0","0","0"
