"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#8C4799","De La Cruz, B.","120","-24","1","0","24","-8","10","0","25","12"
"2","#8C4799","Hunter, K.","16","0","31","0","0","-8","0","0","75","24"
"3","#8C4799","McClendon, D.","72","-48","1","0","0","-8","24","-24","35","36"
"4","#8C4799","Vélez Agosto, N.","0","0","3","0","0","0","18","0","75","0"
"5","#8C4799","Bastianelli, A.","56","0","0","0","0","0","0","0","10","24"
"6","#8C4799","Nwanebu, E.","64","-24","0","0","12","-8","0","0","45","0"
"7","#8C4799","Grant, N.","40","0","0","0","0","0","0","0","10","24"
"8","#DAAA00","Larson, J.","96","-84","6","0","12","-8","6","0","55","0"
"9","#8C4799","Peterson, A.","0","0","5","0","0","0","0","0","15","0"
"10","#8C4799","Freeman, S.","8","-12","0","0","0","0","0","0","0","12"
"11","#8C4799","Lohman, M.","0","0","0","0","0","0","0","0","5","0"
"12","#8C4799","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"13","#DAAA00","Morgan, T.","40","0","0","0","0","-8","0","0","35","24"
"14","#DAAA00","Tupac, K.","0","0","1","0","0","0","32","0","45","0"
"15","#DAAA00","Seliger-Swenson, S.","0","0","34","0","12","0","0","0","30","0"
"16","#DAAA00","Toliver, H.","24","0","0","0","0","0","18","-24","20","12"
"17","#DAAA00","Sybeldon, L.","40","-24","0","0","0","-16","0","0","10","36"
"18","#DAAA00","Holston, A.","32","-12","0","0","0","0","0","0","15","0"
"19","#DAAA00","Johnson, W.","64","-60","0","0","0","0","0","0","30","0"
"20","#DAAA00","Stalzer, L.","32","-36","0","0","0","-8","10","0","25","0"
"21","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"22","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
