"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","De La Cruz, B.","80","60"
"2","#8C4799","Hunter, K.","80","60"
"3","#8C4799","McClendon, D.","80","60"
"4","#8C4799","Vélez Agosto, N.","80","60"
"5","#8C4799","Bastianelli, A.","80","60"
"6","#8C4799","Nwanebu, E.","80","60"
"7","#8C4799","Grant, N.","80","60"
"8","#DAAA00","Larson, J.","40","0"
"9","#8C4799","Peterson, A.","80","60"
"10","#8C4799","Freeman, S.","80","60"
"11","#8C4799","Lohman, M.","80","60"
"12","#8C4799","Wilson, E.","80","60"
"13","#DAAA00","Morgan, T.","40","0"
"14","#DAAA00","Tupac, K.","40","0"
"15","#DAAA00","Seliger-Swenson, S.","40","0"
"16","#DAAA00","Toliver, H.","40","0"
"17","#DAAA00","Holston, A.","40","0"
"18","#DAAA00","Sybeldon, L.","40","0"
"19","#DAAA00","Johnson, W.","40","0"
"20","#DAAA00","Stalzer, L.","40","0"
"21","#DAAA00","Wieser, K.","40","0"
"22","#DAAA00","Pickrell, K.","40","0"
