"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#1C9AD6","Cruz, A.","80","-12","0","0","24","-8","14","0","45","0"
"2","#1C9AD6","King, B.","8","0","37","0","12","0","0","0","30","48"
"3","#1C9AD6","Edmond, L.","80","-72","1","0","12","0","26","0","20","60"
"4","#1C9AD6","Atkinson, S.","56","-24","0","0","0","0","0","0","70","12"
"5","#1C9AD6","McCage, M.","88","-12","0","0","0","-8","0","0","0","0"
"6","#1C9AD6","Sandbothe, T.","40","-12","0","0","12","-8","0","0","0","24"
"7","#1C9AD6","Clark, T.","0","0","1","0","0","0","12","-12","45","0"
"8","#1C9AD6","Manns, K.","0","0","0","0","0","0","0","0","0","0"
"9","#1C9AD6","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"10","#1C9AD6","Castro, S.","0","0","0","0","0","-8","0","0","0","0"
"11","#FF8F28","Aliyeva, O.","48","-12","0","0","0","-8","18","0","15","12"
"12","#FF8F28","Gibbemeyer, L.","56","-24","0","0","12","0","0","0","15","12"
"13","#FF8F28","Lowe, K.","112","-96","0","0","0","0","0","0","40","0"
"14","#FF8F28","Rosado, D.","0","0","1","0","0","0","12","-36","75","0"
"15","#FF8F28","Crocker, C.","40","-12","0","0","0","0","0","0","5","12"
"16","#FF8F28","Bruns, T.","0","0","23","0","12","0","0","0","5","0"
"17","#FF8F28","Handley, E.","16","0","11","0","0","-8","0","0","0","12"
"18","#FF8F28","Abbott, S.","32","-48","0","0","0","0","20","-24","15","12"
"19","#FF8F28","Fairs, E.","8","-72","0","0","0","0","10","0","25","0"
"0","#FF8F28","Carter, K.","","","","","","","","","",""
"0","#FF8F28","Holman, B.","","","","","","","","","",""
