"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","De La Cruz, B.","136","-36","1","0","12","-8","6","0","25","0"
"2","#FF8F28","Sybeldon, L.","88","0","1","0","12","0","0","0","5","0"
"3","#FF8F28","Stalzer, L.","56","-36","1","0","0","0","50","-24","55","36"
"4","#FF8F28","Hunter, K.","8","0","46","0","0","-8","0","0","40","12"
"5","#FF8F28","Lowe, K.","96","-60","2","0","0","0","0","0","40","12"
"6","#FF8F28","Vélez Agosto, N.","0","0","0","0","0","0","16","-12","75","0"
"7","#FF8F28","Grant, N.","40","0","0","0","0","0","0","0","0","36"
"8","#FF8F28","Lohman, M.","0","0","0","0","12","-8","0","0","5","0"
"9","#FF8F28","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"10","#FF8F28","Fairs, E.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Nwanebu, E.","128","-36","1","0","0","0","0","0","15","24"
"13","#8C4799","Bruns, T.","16","-12","30","0","12","0","0","0","45","0"
"14","#8C4799","Lichtman, C.","40","-12","0","0","12","0","18","0","10","0"
"15","#8C4799","Crocker, C.","64","-24","2","0","0","-8","0","0","10","12"
"16","#8C4799","Clark, T.","0","0","3","0","0","0","20","-12","45","0"
"17","#8C4799","Bastianelli, A.","24","-36","0","0","12","0","0","0","5","24"
"18","#8C4799","Aliyeva, O.","48","-48","1","0","0","0","18","-12","20","0"
"19","#8C4799","Abbott, S.","0","-48","0","0","0","0","10","-12","15","0"
"0","#8C4799","Carter, K.","","","","","","","","","",""
"0","#8C4799","Michel, C.","","","","","","","","","",""
"0","#8C4799","Peterson, A.","","","","","","","","","",""
