"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#DAAA00","King, B.","0","0","0"
"2","#DAAA00","McCage, M.","60","0","0"
"3","#DAAA00","Morgan, T.","0","0","0"
"4","#DAAA00","Castro, S.","0","0","0"
"5","#1C9AD6","Edmond, L.","0","0","0"
"6","#DAAA00","McClendon, D.","0","0","0"
"7","#DAAA00","Tupac, K.","0","0","0"
"8","#DAAA00","Larson, J.","0","0","0"
"9","#1C9AD6","Rosado, D.","0","40","0"
"10","#DAAA00","Toliver, H.","0","0","0"
"11","#DAAA00","Holston, A.","0","0","0"
"12","#DAAA00","Wieser, K.","0","0","0"
"13","#DAAA00","Pickrell, K.","0","0","0"
"14","#1C9AD6","Sandbothe, T.","0","0","0"
"15","#1C9AD6","Seliger-Swenson, S.","0","0","0"
"16","#1C9AD6","Cruz, A.","0","0","0"
"17","#1C9AD6","Gibbemeyer, L.","0","0","0"
"18","#1C9AD6","Manns, K.","0","0","0"
"19","#1C9AD6","Atkinson, S.","0","0","20"
"20","#1C9AD6","Johnson, W.","0","0","0"
"21","#1C9AD6","Wilson, E.","0","0","0"
"22","#1C9AD6","Holman, B.","0","0","0"
