"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#DAAA00","King, B.","8","0","48","0","0","-8","0","0","110","0"
"2","#DAAA00","McCage, M.","88","-24","0","0","0","-16","0","0","20","24"
"3","#DAAA00","Morgan, T.","88","-12","0","0","0","-8","0","0","5","36"
"4","#DAAA00","Castro, S.","112","-60","0","0","0","-16","0","0","40","12"
"5","#1C9AD6","Edmond, L.","104","-36","0","0","12","0","22","0","55","24"
"6","#DAAA00","McClendon, D.","32","-48","0","0","12","-24","60","-12","60","0"
"7","#DAAA00","Tupac, K.","0","0","1","0","0","0","20","-12","70","0"
"8","#DAAA00","Larson, J.","104","-120","1","0","12","-8","8","0","80","0"
"9","#1C9AD6","Rosado, D.","0","0","5","0","0","0","28","0","80","0"
"10","#DAAA00","Toliver, H.","0","0","0","0","12","-8","0","0","15","0"
"11","#DAAA00","Holston, A.","0","0","0","0","0","0","0","0","0","0"
"12","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"13","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"14","#1C9AD6","Sandbothe, T.","40","0","1","0","12","-8","0","0","30","24"
"15","#1C9AD6","Seliger-Swenson, S.","8","0","12","0","0","0","0","0","65","0"
"16","#1C9AD6","Cruz, A.","96","-84","1","0","0","-16","8","-12","60","12"
"17","#1C9AD6","Gibbemeyer, L.","40","-12","0","0","12","-8","0","0","0","12"
"18","#1C9AD6","Manns, K.","8","0","16","0","0","0","0","0","20","0"
"19","#1C9AD6","Atkinson, S.","24","-60","0","0","0","-8","0","0","25","36"
"20","#1C9AD6","Johnson, W.","8","-24","0","0","0","0","0","0","15","12"
"21","#1C9AD6","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"22","#1C9AD6","Holman, B.","0","0","0","0","0","0","0","0","0","0"
