"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#DAAA00","King, B.","80","60"
"2","#DAAA00","McCage, M.","80","60"
"3","#DAAA00","Morgan, T.","80","60"
"4","#DAAA00","Castro, S.","80","60"
"5","#1C9AD6","Edmond, L.","40","0"
"6","#DAAA00","McClendon, D.","80","60"
"7","#DAAA00","Tupac, K.","80","60"
"8","#DAAA00","Larson, J.","80","60"
"9","#1C9AD6","Rosado, D.","40","0"
"10","#DAAA00","Toliver, H.","80","60"
"11","#DAAA00","Holston, A.","80","60"
"12","#DAAA00","Wieser, K.","80","60"
"13","#DAAA00","Pickrell, K.","80","60"
"14","#1C9AD6","Sandbothe, T.","40","0"
"15","#1C9AD6","Seliger-Swenson, S.","40","0"
"16","#1C9AD6","Cruz, A.","40","0"
"17","#1C9AD6","Gibbemeyer, L.","40","0"
"18","#1C9AD6","Manns, K.","40","0"
"19","#1C9AD6","Atkinson, S.","40","0"
"20","#1C9AD6","Johnson, W.","40","0"
"21","#1C9AD6","Wilson, E.","40","0"
"22","#1C9AD6","Holman, B.","40","0"
