"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","De La Cruz, B.","60","0","0"
"2","#FF8F28","Stalzer, L.","0","40","0"
"3","#FF8F28","Hunter, K.","0","0","20"
"4","#FF8F28","Lowe, K.","0","0","0"
"5","#FF8F28","Sybeldon, L.","0","0","0"
"6","#FF8F28","Grant, N.","0","0","0"
"7","#FF8F28","Vélez Agosto, N.","0","0","0"
"8","#FF8F28","Lohman, M.","0","0","0"
"9","#FF8F28","Freeman, S.","0","0","0"
"10","#FF8F28","Fairs, E.","0","0","0"
"11","#FF8F28","Handley, E.","0","0","0"
"12","#1C9AD6","Edmond, L.","0","0","0"
"13","#1C9AD6","Seliger-Swenson, S.","0","0","0"
"14","#1C9AD6","Gibbemeyer, L.","0","0","0"
"15","#1C9AD6","Rosado, D.","0","0","0"
"16","#1C9AD6","Atkinson, S.","0","0","0"
"17","#1C9AD6","Johnson, W.","0","0","0"
"18","#1C9AD6","Sandbothe, T.","0","0","0"
"19","#1C9AD6","Manns, K.","0","0","0"
"20","#1C9AD6","Wilson, E.","0","0","0"
"0","#1C9AD6","Cruz, A.","","",""
"0","#1C9AD6","Holman, B.","","",""
