"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","De La Cruz, B.","104","-36","2","0","36","-8","4","0","45","0"
"2","#FF8F28","Stalzer, L.","56","-24","0","0","12","-16","16","-12","50","36"
"3","#FF8F28","Hunter, K.","24","-12","41","0","24","0","0","0","30","24"
"4","#FF8F28","Lowe, K.","104","-48","0","0","12","0","0","0","20","12"
"5","#FF8F28","Sybeldon, L.","40","-12","0","0","12","-8","0","0","25","0"
"6","#FF8F28","Grant, N.","72","-24","1","0","0","0","0","0","5","0"
"7","#FF8F28","Vélez Agosto, N.","0","0","3","0","0","0","18","-12","35","0"
"8","#FF8F28","Lohman, M.","0","0","0","0","0","0","0","0","5","0"
"9","#FF8F28","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"10","#FF8F28","Fairs, E.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"12","#1C9AD6","Edmond, L.","64","-12","1","0","0","-8","22","-12","35","12"
"13","#1C9AD6","Seliger-Swenson, S.","8","0","25","0","12","0","0","0","30","0"
"14","#1C9AD6","Gibbemeyer, L.","32","-12","0","0","0","0","0","0","5","12"
"15","#1C9AD6","Rosado, D.","0","0","2","0","0","0","16","-12","30","0"
"16","#1C9AD6","Atkinson, S.","24","-12","0","0","12","0","0","0","10","0"
"17","#1C9AD6","Johnson, W.","40","-60","0","0","0","0","0","0","25","12"
"18","#1C9AD6","Sandbothe, T.","32","-24","1","0","0","-16","0","0","5","12"
"19","#1C9AD6","Manns, K.","0","0","2","0","0","0","0","0","0","0"
"20","#1C9AD6","Wilson, E.","64","-36","0","0","0","0","6","-72","30","0"
"0","#1C9AD6","Cruz, A.","","","","","","","","","",""
"0","#1C9AD6","Holman, B.","","","","","","","","","",""
