"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","De La Cruz, B.","120","60"
"2","#FF8F28","Stalzer, L.","120","60"
"3","#FF8F28","Hunter, K.","120","60"
"4","#FF8F28","Lowe, K.","120","60"
"5","#FF8F28","Sybeldon, L.","120","60"
"6","#FF8F28","Grant, N.","120","60"
"7","#FF8F28","Vélez Agosto, N.","120","60"
"8","#FF8F28","Lohman, M.","120","60"
"9","#FF8F28","Freeman, S.","120","60"
"10","#FF8F28","Fairs, E.","120","60"
"11","#FF8F28","Handley, E.","120","60"
"12","#1C9AD6","Edmond, L.","0","0"
"13","#1C9AD6","Seliger-Swenson, S.","0","0"
"14","#1C9AD6","Gibbemeyer, L.","0","0"
"15","#1C9AD6","Rosado, D.","0","0"
"16","#1C9AD6","Atkinson, S.","0","0"
"17","#1C9AD6","Johnson, W.","0","0"
"18","#1C9AD6","Sandbothe, T.","0","0"
"19","#1C9AD6","Manns, K.","0","0"
"20","#1C9AD6","Wilson, E.","0","0"
"0","#1C9AD6","Cruz, A.","",""
"0","#1C9AD6","Holman, B.","",""
