"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#DAAA00","Larson, J.","60","0","0"
"2","#DAAA00","Castro, S.","0","40","0"
"3","#DAAA00","McClendon, D.","0","0","20"
"4","#DAAA00","King, B.","0","0","0"
"5","#DAAA00","Tupac, K.","0","0","0"
"6","#DAAA00","Morgan, T.","0","0","0"
"7","#8C4799","Nwanebu, E.","0","0","0"
"8","#DAAA00","McCage, M.","0","0","0"
"9","#DAAA00","Toliver, H.","0","0","0"
"10","#DAAA00","Holston, A.","0","0","0"
"11","#DAAA00","Wieser, K.","0","0","0"
"12","#DAAA00","Pickrell, K.","0","0","0"
"13","#8C4799","Lichtman, C.","0","0","0"
"14","#8C4799","Clark, T.","0","0","0"
"15","#8C4799","Bruns, T.","0","0","0"
"16","#8C4799","Bastianelli, A.","0","0","0"
"17","#8C4799","Abbott, S.","0","0","0"
"18","#8C4799","Crocker, C.","0","0","0"
"19","#8C4799","Aliyeva, O.","0","0","0"
"20","#8C4799","Peterson, A.","0","0","0"
"21","#8C4799","Michel, C.","0","0","0"
"22","#8C4799","Carter, K.","0","0","0"
