"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#DAAA00","Larson, J.","120","-60","1","0","36","-8","4","0","65","24"
"2","#DAAA00","Castro, S.","80","-24","0","0","12","0","0","0","40","36"
"3","#DAAA00","McClendon, D.","88","-24","1","0","0","-8","34","-12","70","0"
"4","#DAAA00","King, B.","24","0","42","0","0","0","0","0","55","12"
"5","#DAAA00","Tupac, K.","0","0","0","0","0","0","26","-12","65","0"
"6","#DAAA00","Morgan, T.","40","-12","0","0","0","0","0","0","5","24"
"7","#8C4799","Nwanebu, E.","120","-60","0","0","0","0","0","0","50","12"
"8","#DAAA00","McCage, M.","32","-36","0","0","12","-8","0","0","0","12"
"9","#DAAA00","Toliver, H.","0","0","0","0","0","0","0","0","5","0"
"10","#DAAA00","Holston, A.","0","0","0","0","0","0","0","0","0","0"
"11","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"12","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"13","#8C4799","Lichtman, C.","32","-36","0","0","24","0","10","0","45","0"
"14","#8C4799","Clark, T.","0","0","0","0","0","0","16","-12","70","0"
"15","#8C4799","Bruns, T.","8","0","30","0","0","0","0","0","15","12"
"16","#8C4799","Bastianelli, A.","24","-12","0","0","0","0","0","0","5","36"
"17","#8C4799","Abbott, S.","48","-36","0","0","0","-8","16","-24","25","24"
"18","#8C4799","Crocker, C.","40","-24","1","0","0","-8","0","0","10","12"
"19","#8C4799","Aliyeva, O.","0","0","0","0","0","0","6","-12","10","0"
"20","#8C4799","Peterson, A.","0","0","0","0","0","0","0","0","0","0"
"21","#8C4799","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"22","#8C4799","Carter, K.","0","0","0","0","0","0","0","0","0","0"
