"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#DAAA00","Larson, J.","80","60"
"2","#DAAA00","Castro, S.","80","60"
"3","#DAAA00","McClendon, D.","80","60"
"4","#DAAA00","King, B.","80","60"
"5","#DAAA00","Tupac, K.","80","60"
"6","#DAAA00","Morgan, T.","80","60"
"7","#8C4799","Nwanebu, E.","40","0"
"8","#DAAA00","McCage, M.","80","60"
"9","#DAAA00","Toliver, H.","80","60"
"10","#DAAA00","Holston, A.","80","60"
"11","#DAAA00","Wieser, K.","80","60"
"12","#DAAA00","Pickrell, K.","80","60"
"13","#8C4799","Lichtman, C.","40","0"
"14","#8C4799","Clark, T.","40","0"
"15","#8C4799","Bruns, T.","40","0"
"16","#8C4799","Bastianelli, A.","40","0"
"17","#8C4799","Abbott, S.","40","0"
"18","#8C4799","Crocker, C.","40","0"
"19","#8C4799","Aliyeva, O.","40","0"
"20","#8C4799","Peterson, A.","40","0"
"21","#8C4799","Michel, C.","40","0"
"22","#8C4799","Carter, K.","40","0"
