"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#1C9AD6","Cruz, A.","60","0","0"
"2","#1C9AD6","Seliger-Swenson, S.","0","0","20"
"3","#1C9AD6","Edmond, L.","0","0","0"
"4","#1C9AD6","Atkinson, S.","0","0","0"
"5","#8C4799","Abbott, S.","0","40","0"
"6","#1C9AD6","Rosado, D.","0","0","0"
"7","#1C9AD6","Gibbemeyer, L.","0","0","0"
"8","#1C9AD6","Sandbothe, T.","0","0","0"
"9","#1C9AD6","Manns, K.","0","0","0"
"10","#1C9AD6","Wilson, E.","0","0","0"
"11","#1C9AD6","Johnson, W.","0","0","0"
"12","#1C9AD6","Holman, B.","0","0","0"
"13","#8C4799","Lichtman, C.","0","0","0"
"14","#8C4799","Clark, T.","0","0","0"
"15","#8C4799","Nwanebu, E.","0","0","0"
"16","#8C4799","Bruns, T.","0","0","0"
"17","#8C4799","Carter, K.","0","0","0"
"18","#8C4799","Crocker, C.","0","0","0"
"19","#8C4799","Aliyeva, O.","0","0","0"
"20","#8C4799","Bastianelli, A.","0","0","0"
"0","#8C4799","Michel, C.","","",""
"0","#8C4799","Peterson, A.","","",""
