"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#1C9AD6","Cruz, A.","96","-24","2","-12","0","0","18","-12","45","12"
"2","#1C9AD6","Seliger-Swenson, S.","24","0","33","0","0","0","0","0","55","0"
"3","#1C9AD6","Edmond, L.","128","-60","0","0","0","-16","22","-12","45","24"
"4","#1C9AD6","Atkinson, S.","56","-36","0","0","0","-8","0","0","55","36"
"5","#8C4799","Abbott, S.","136","-24","0","0","24","0","32","-12","70","0"
"6","#1C9AD6","Rosado, D.","0","0","6","0","0","0","32","-24","60","0"
"7","#1C9AD6","Gibbemeyer, L.","32","-12","1","0","12","-8","0","0","20","24"
"8","#1C9AD6","Sandbothe, T.","64","-24","2","0","0","-8","0","0","0","24"
"9","#1C9AD6","Manns, K.","0","0","0","0","0","0","0","0","0","0"
"10","#1C9AD6","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"11","#1C9AD6","Johnson, W.","0","0","0","0","0","0","0","0","0","0"
"12","#1C9AD6","Holman, B.","0","0","0","0","0","0","0","0","0","0"
"13","#8C4799","Lichtman, C.","16","-24","1","0","0","0","30","0","60","12"
"14","#8C4799","Clark, T.","0","0","0","0","0","0","22","0","70","0"
"15","#8C4799","Nwanebu, E.","56","-24","1","0","0","0","0","0","40","12"
"16","#8C4799","Bruns, T.","0","0","40","0","0","-8","0","0","45","0"
"17","#8C4799","Carter, K.","32","-48","0","0","24","0","0","0","0","12"
"18","#8C4799","Crocker, C.","48","-36","0","0","0","-8","0","0","0","12"
"19","#8C4799","Aliyeva, O.","0","0","0","0","0","0","0","0","5","0"
"20","#8C4799","Bastianelli, A.","56","-72","0","0","0","-16","0","0","0","24"
"0","#8C4799","Michel, C.","","","","","","","","","",""
"0","#8C4799","Peterson, A.","","","","","","","","","",""
