"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#1C9AD6","Cruz, A.","120","60"
"2","#1C9AD6","Seliger-Swenson, S.","120","60"
"3","#1C9AD6","Edmond, L.","120","60"
"4","#1C9AD6","Atkinson, S.","120","60"
"5","#8C4799","Abbott, S.","0","0"
"6","#1C9AD6","Rosado, D.","120","60"
"7","#1C9AD6","Gibbemeyer, L.","120","60"
"8","#1C9AD6","Sandbothe, T.","120","60"
"9","#1C9AD6","Manns, K.","120","60"
"10","#1C9AD6","Wilson, E.","120","60"
"11","#1C9AD6","Johnson, W.","120","60"
"12","#1C9AD6","Holman, B.","120","60"
"13","#8C4799","Lichtman, C.","0","0"
"14","#8C4799","Clark, T.","0","0"
"15","#8C4799","Nwanebu, E.","0","0"
"16","#8C4799","Bruns, T.","0","0"
"17","#8C4799","Carter, K.","0","0"
"18","#8C4799","Crocker, C.","0","0"
"19","#8C4799","Aliyeva, O.","0","0"
"20","#8C4799","Bastianelli, A.","0","0"
"0","#8C4799","Michel, C.","",""
"0","#8C4799","Peterson, A.","",""
