"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","Hunter, K.","0","40","0"
"2","#FF8F28","Lowe, K.","60","0","0"
"3","#FF8F28","De La Cruz, B.","0","0","0"
"4","#FF8F28","Vélez Agosto, N.","0","0","0"
"5","#DAAA00","Larson, J.","0","0","20"
"6","#FF8F28","Stalzer, L.","0","0","0"
"7","#FF8F28","Sybeldon, L.","0","0","0"
"8","#FF8F28","Grant, N.","0","0","0"
"9","#FF8F28","Fairs, E.","0","0","0"
"10","#FF8F28","Lohman, M.","0","0","0"
"11","#FF8F28","Freeman, S.","0","0","0"
"12","#FF8F28","Handley, E.","0","0","0"
"13","#DAAA00","McClendon, D.","0","0","0"
"14","#DAAA00","King, B.","0","0","0"
"15","#DAAA00","Tupac, K.","0","0","0"
"16","#DAAA00","Castro, S.","0","0","0"
"17","#DAAA00","McCage, M.","0","0","0"
"18","#DAAA00","Holston, A.","0","0","0"
"19","#DAAA00","Morgan, T.","0","0","0"
"20","#DAAA00","Toliver, H.","0","0","0"
"21","#DAAA00","Wieser, K.","0","0","0"
"22","#DAAA00","Pickrell, K.","0","0","0"
