"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#1C9AD6","Lowe, K.","200","-36","0","0","0","-8","0","0","30","24"
"2","#1C9AD6","King, B.","16","0","44","0","24","-8","0","0","50","12"
"3","#1C9AD6","McClendon, D.","56","-12","1","0","0","-8","8","0","70","12"
"4","#1C9AD6","Abbott, S.","64","-12","0","0","0","-8","28","-24","35","0"
"5","#1C9AD6","Rosado, D.","0","0","4","0","0","0","16","-36","50","0"
"6","#1C9AD6","Morgan, T.","48","-24","1","0","0","-16","0","0","0","24"
"7","#1C9AD6","Grant, N.","40","-36","0","0","0","-8","0","0","10","12"
"8","#DAAA00","De La Cruz, B.","88","-36","0","0","24","-16","12","0","45","0"
"9","#1C9AD6","Toliver, H.","0","0","0","0","0","-8","2","0","20","0"
"10","#DAAA00","Castro, S.","96","-36","1","0","12","0","0","0","25","12"
"11","#1C9AD6","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"12","#1C9AD6","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"13","#1C9AD6","Lohman, M.","0","0","0","0","0","-8","0","0","5","0"
"14","#DAAA00","Seliger-Swenson, S.","8","0","32","0","12","0","0","0","45","0"
"15","#DAAA00","Lichtman, C.","24","-24","1","0","12","0","12","0","50","0"
"16","#DAAA00","Tupac, K.","0","0","2","0","0","0","46","-24","50","0"
"17","#DAAA00","McCage, M.","64","-12","0","0","0","0","0","0","5","0"
"18","#DAAA00","Sybeldon, L.","24","-24","0","0","12","0","0","0","10","12"
"19","#DAAA00","Nichol, V.","0","0","0","0","0","0","0","0","0","0"
"20","#DAAA00","Wieser, K.","0","0","0","0","0","0","0","0","0","0"
"21","#DAAA00","Pickrell, K.","0","0","0","0","0","0","0","0","0","0"
"22","#DAAA00","Fairs, E.","0","0","0","0","0","-8","0","0","5","0"
