"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#1C9AD6","Lowe, K.","80","60"
"2","#1C9AD6","King, B.","80","60"
"3","#1C9AD6","McClendon, D.","80","60"
"4","#1C9AD6","Abbott, S.","80","60"
"5","#1C9AD6","Rosado, D.","80","60"
"6","#1C9AD6","Morgan, T.","80","60"
"7","#1C9AD6","Grant, N.","80","60"
"8","#DAAA00","De La Cruz, B.","40","0"
"9","#1C9AD6","Toliver, H.","80","60"
"10","#DAAA00","Castro, S.","40","0"
"11","#1C9AD6","Freeman, S.","80","60"
"12","#1C9AD6","Handley, E.","80","60"
"13","#1C9AD6","Lohman, M.","80","60"
"14","#DAAA00","Seliger-Swenson, S.","40","0"
"15","#DAAA00","Lichtman, C.","40","0"
"16","#DAAA00","Tupac, K.","40","0"
"17","#DAAA00","McCage, M.","40","0"
"18","#DAAA00","Sybeldon, L.","40","0"
"19","#DAAA00","Nichol, V.","40","0"
"20","#DAAA00","Wieser, K.","40","0"
"21","#DAAA00","Pickrell, K.","40","0"
"22","#DAAA00","Fairs, E.","40","0"
