"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#FF8F28","Larson, J.","60","0","0"
"2","#FF8F28","Cruz, A.","0","40","0"
"3","#FF8F28","Gibbemeyer, L.","0","0","0"
"4","#FF8F28","Manns, K.","0","0","0"
"5","#FF8F28","Clark, T.","0","0","0"
"6","#FF8F28","Nwanebu, E.","0","0","0"
"7","#FF8F28","Bruns, T.","0","0","0"
"8","#FF8F28","Michel, C.","0","0","0"
"9","#FF8F28","Wilson, E.","0","0","0"
"10","#FF8F28","Carter, K.","0","0","0"
"11","#FF8F28","Sandbothe, T.","0","0","0"
"12","#8C4799","Atkinson, S.","0","0","20"
"13","#8C4799","Edmond, L.","0","0","0"
"14","#8C4799","Stalzer, L.","0","0","0"
"15","#8C4799","Hunter, K.","0","0","0"
"16","#8C4799","Crocker, C.","0","0","0"
"17","#8C4799","Vélez Agosto, N.","0","0","0"
"18","#8C4799","Bastianelli, A.","0","0","0"
"0","#8C4799","Aliyeva, O.","","",""
"0","#8C4799","Holman, B.","","",""
"0","#8C4799","Holston, A.","","",""
"0","#8C4799","Peterson, A.","","",""
