"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","Larson, J.","120","-72","7","0","0","-16","6","0","70","24"
"2","#FF8F28","Cruz, A.","96","0","1","0","12","-8","20","-12","40","0"
"3","#FF8F28","Gibbemeyer, L.","64","-12","2","0","12","0","0","0","0","72"
"4","#FF8F28","Manns, K.","24","0","37","0","0","-8","0","0","45","0"
"5","#FF8F28","Clark, T.","0","0","1","0","0","0","40","0","45","0"
"6","#FF8F28","Nwanebu, E.","96","-96","0","0","0","-8","0","0","45","12"
"7","#FF8F28","Bruns, T.","0","0","0","0","0","0","0","0","0","0"
"8","#FF8F28","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"9","#FF8F28","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"10","#FF8F28","Carter, K.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Sandbothe, T.","16","-48","0","0","24","-16","0","0","5","0"
"12","#8C4799","Atkinson, S.","80","-36","0","0","0","-8","0","0","25","24"
"13","#8C4799","Edmond, L.","48","-36","0","0","0","0","2","0","40","36"
"14","#8C4799","Stalzer, L.","16","0","0","0","0","-8","52","-12","25","12"
"15","#8C4799","Hunter, K.","8","-24","22","0","0","0","0","0","45","12"
"16","#8C4799","Crocker, C.","40","0","0","0","12","-16","0","0","0","12"
"17","#8C4799","Vélez Agosto, N.","0","0","1","0","0","0","12","-36","40","0"
"18","#8C4799","Bastianelli, A.","24","-24","0","0","0","-24","0","0","0","36"
"0","#8C4799","Aliyeva, O.","","","","","","","","","",""
"0","#8C4799","Holman, B.","","","","","","","","","",""
"0","#8C4799","Holston, A.","","","","","","","","","",""
"0","#8C4799","Peterson, A.","","","","","","","","","",""
