"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","Larson, J.","120","60"
"2","#FF8F28","Cruz, A.","120","60"
"3","#FF8F28","Gibbemeyer, L.","120","60"
"4","#FF8F28","Manns, K.","120","60"
"5","#FF8F28","Clark, T.","120","60"
"6","#FF8F28","Nwanebu, E.","120","60"
"7","#FF8F28","Bruns, T.","120","60"
"8","#FF8F28","Michel, C.","120","60"
"9","#FF8F28","Wilson, E.","120","60"
"10","#FF8F28","Carter, K.","120","60"
"11","#FF8F28","Sandbothe, T.","120","60"
"12","#8C4799","Atkinson, S.","0","0"
"13","#8C4799","Edmond, L.","0","0"
"14","#8C4799","Stalzer, L.","0","0"
"15","#8C4799","Hunter, K.","0","0"
"16","#8C4799","Crocker, C.","0","0"
"17","#8C4799","Vélez Agosto, N.","0","0"
"18","#8C4799","Bastianelli, A.","0","0"
"0","#8C4799","Aliyeva, O.","",""
"0","#8C4799","Holman, B.","",""
"0","#8C4799","Holston, A.","",""
"0","#8C4799","Peterson, A.","",""
