"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#DAAA00","Castro, S.","60","0","0"
"2","#DAAA00","Lichtman, C.","0","40","0"
"3","#DAAA00","De La Cruz, B.","0","0","0"
"4","#DAAA00","Nichol, V.","0","0","20"
"5","#DAAA00","Tupac, K.","0","0","0"
"6","#DAAA00","Sybeldon, L.","0","0","0"
"7","#DAAA00","McCage, M.","0","0","0"
"8","#DAAA00","Seliger-Swenson, S.","0","0","0"
"9","#DAAA00","Wieser, K.","0","0","0"
"10","#DAAA00","Fairs, E.","0","0","0"
"11","#DAAA00","Pickrell, K.","0","0","0"
"12","#8C4799","Hunter, K.","0","0","0"
"13","#8C4799","Atkinson, S.","0","0","0"
"14","#8C4799","Edmond, L.","0","0","0"
"15","#8C4799","Vélez Agosto, N.","0","0","0"
"16","#8C4799","Aliyeva, O.","0","0","0"
"17","#8C4799","Crocker, C.","0","0","0"
"18","#8C4799","Stalzer, L.","0","0","0"
"19","#8C4799","Bastianelli, A.","0","0","0"
"20","#8C4799","Peterson, A.","0","0","0"
"0","#8C4799","Holman, B.","","",""
"0","#8C4799","Holston, A.","","",""
