"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#DAAA00","Castro, S.","120","60"
"2","#DAAA00","Lichtman, C.","120","60"
"3","#DAAA00","De La Cruz, B.","120","60"
"4","#DAAA00","Nichol, V.","120","60"
"5","#DAAA00","Tupac, K.","120","60"
"6","#DAAA00","Sybeldon, L.","120","60"
"7","#DAAA00","McCage, M.","120","60"
"8","#DAAA00","Seliger-Swenson, S.","120","60"
"9","#DAAA00","Wieser, K.","120","60"
"10","#DAAA00","Fairs, E.","120","60"
"11","#DAAA00","Pickrell, K.","120","60"
"12","#8C4799","Hunter, K.","0","0"
"13","#8C4799","Atkinson, S.","0","0"
"14","#8C4799","Edmond, L.","0","0"
"15","#8C4799","Vélez Agosto, N.","0","0"
"16","#8C4799","Aliyeva, O.","0","0"
"17","#8C4799","Crocker, C.","0","0"
"18","#8C4799","Stalzer, L.","0","0"
"19","#8C4799","Bastianelli, A.","0","0"
"20","#8C4799","Peterson, A.","0","0"
"0","#8C4799","Holman, B.","",""
"0","#8C4799","Holston, A.","",""
