"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","Larson, J.","120","-48","4","0","24","0","14","0","40","36"
"2","#FF8F28","Cruz, A.","72","-24","2","0","0","0","8","-12","50","12"
"3","#FF8F28","Sandbothe, T.","32","-12","1","0","24","0","0","0","15","48"
"4","#FF8F28","Manns, K.","16","0","29","0","0","0","0","0","50","0"
"5","#FF8F28","Nwanebu, E.","48","-48","0","0","0","0","0","0","30","60"
"6","#FF8F28","Clark, T.","0","0","2","0","0","0","40","-36","60","0"
"7","#FF8F28","Gibbemeyer, L.","64","-24","0","-12","0","0","0","0","10","0"
"8","#FF8F28","Carter, K.","0","0","0","0","0","0","0","0","10","0"
"9","#FF8F28","Bruns, T.","0","0","1","0","0","0","0","0","0","0"
"10","#FF8F28","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"12","#1C9AD6","King, B.","8","0","34","0","0","0","0","0","45","12"
"13","#1C9AD6","Morgan, T.","64","0","0","0","0","0","0","0","20","12"
"14","#1C9AD6","Rosado, D.","0","0","1","0","0","0","16","0","70","0"
"15","#1C9AD6","Abbott, S.","72","-24","1","0","0","0","26","-24","20","0"
"16","#1C9AD6","Lowe, K.","104","-108","0","0","12","-8","0","0","40","12"
"17","#1C9AD6","Grant, N.","24","-12","0","0","0","0","0","0","5","24"
"18","#1C9AD6","McClendon, D.","48","-72","0","0","24","0","16","-12","35","0"
"19","#1C9AD6","Lohman, M.","0","0","0","0","12","-8","0","0","5","0"
"20","#1C9AD6","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"21","#1C9AD6","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"22","#1C9AD6","Toliver, H.","0","0","0","0","0","-8","4","-12","10","0"
