"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#FF8F28","Larson, J.","80","60"
"2","#FF8F28","Cruz, A.","80","60"
"3","#FF8F28","Sandbothe, T.","80","60"
"4","#FF8F28","Manns, K.","80","60"
"5","#FF8F28","Nwanebu, E.","80","60"
"6","#FF8F28","Clark, T.","80","60"
"7","#FF8F28","Gibbemeyer, L.","80","60"
"8","#FF8F28","Carter, K.","80","60"
"9","#FF8F28","Bruns, T.","80","60"
"10","#FF8F28","Michel, C.","80","60"
"11","#FF8F28","Wilson, E.","80","60"
"12","#1C9AD6","King, B.","40","0"
"13","#1C9AD6","Morgan, T.","40","0"
"14","#1C9AD6","Rosado, D.","40","0"
"15","#1C9AD6","Abbott, S.","40","0"
"16","#1C9AD6","Lowe, K.","40","0"
"17","#1C9AD6","Grant, N.","40","0"
"18","#1C9AD6","McClendon, D.","40","0"
"19","#1C9AD6","Lohman, M.","40","0"
"20","#1C9AD6","Freeman, S.","40","0"
"21","#1C9AD6","Handley, E.","40","0"
"22","#1C9AD6","Toliver, H.","40","0"
