"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#FF8F28","Larson, J.","160","-48","3","0","12","-16","10","0","75","0"
"2","#FF8F28","Cruz, A.","112","-48","3","0","24","0","6","0","35","12"
"3","#FF8F28","Nwanebu, E.","112","-60","0","0","0","0","0","0","55","36"
"4","#FF8F28","Clark, T.","0","0","2","0","0","0","48","0","55","0"
"5","#FF8F28","Manns, K.","0","-24","41","0","0","0","0","0","50","0"
"6","#FF8F28","Gibbemeyer, L.","40","-12","0","0","0","0","0","0","10","0"
"7","#FF8F28","Sandbothe, T.","24","-12","0","0","12","-8","0","0","15","0"
"8","#FF8F28","Bruns, T.","0","0","4","0","0","0","0","0","10","0"
"9","#FF8F28","Michel, C.","0","0","0","0","0","0","0","0","0","0"
"10","#FF8F28","Wilson, E.","0","0","0","0","0","0","0","0","0","0"
"11","#FF8F28","Carter, K.","0","-12","0","0","0","0","0","0","10","0"
"12","#DAAA00","Lichtman, C.","32","0","0","0","0","0","50","-24","40","0"
"13","#DAAA00","Tupac, K.","0","0","1","0","0","0","14","-12","75","0"
"14","#DAAA00","McCage, M.","48","-12","0","0","0","0","0","0","5","36"
"15","#DAAA00","Sybeldon, L.","24","0","0","0","0","0","0","0","0","48"
"16","#DAAA00","Nichol, V.","8","0","22","0","0","0","0","0","40","0"
"17","#DAAA00","De La Cruz, B.","128","-60","0","0","0","-24","10","-12","25","0"
"18","#DAAA00","Castro, S.","40","-48","1","0","0","-8","0","0","50","12"
"19","#DAAA00","Seliger-Swenson, S.","0","0","10","0","0","0","0","0","20","0"
"0","#DAAA00","Wieser, K.","","","","","","","","","",""
"0","#DAAA00","Fairs, E.","","","","","","","","","",""
"0","#DAAA00","Pickrell, K.","","","","","","","","","",""
