"RANK","TEAM","ATHLETE","1ST PLACE","2ND PLACE","3RD PLACE"
"1","#1C9AD6","McClendon, D.","60","0","0"
"2","#1C9AD6","King, B.","0","0","20"
"3","#1C9AD6","Lowe, K.","0","0","0"
"4","#1C9AD6","Abbott, S.","0","40","0"
"5","#1C9AD6","Rosado, D.","0","0","0"
"6","#1C9AD6","Morgan, T.","0","0","0"
"7","#1C9AD6","Grant, N.","0","0","0"
"8","#1C9AD6","Lohman, M.","0","0","0"
"9","#1C9AD6","Toliver, H.","0","0","0"
"10","#1C9AD6","Freeman, S.","0","0","0"
"11","#1C9AD6","Handley, E.","0","0","0"
"12","#8C4799","Atkinson, S.","0","0","0"
"13","#8C4799","Hunter, K.","0","0","0"
"14","#8C4799","Vélez Agosto, N.","0","0","0"
"15","#8C4799","Stalzer, L.","0","0","0"
"16","#8C4799","Holston, A.","0","0","0"
"17","#8C4799","Crocker, C.","0","0","0"
"18","#8C4799","Holman, B.","0","0","0"
"19","#8C4799","Aliyeva, O.","0","0","0"
"20","#8C4799","Edmond, L.","0","0","0"
"21","#8C4799","Bastianelli, A.","0","0","0"
"0","#8C4799","Peterson, A.","","",""
