"RANK","TEAM","ATHLETE","K","E","A","ES","SA","SE","R","RE","D","B"
"1","#1C9AD6","McClendon, D.","80","-12","1","0","36","0","26","0","40","24"
"2","#1C9AD6","King, B.","24","0","36","0","0","-16","0","0","55","24"
"3","#1C9AD6","Lowe, K.","120","-84","1","0","0","-16","0","0","85","12"
"4","#1C9AD6","Abbott, S.","96","-48","0","0","0","-8","20","0","5","0"
"5","#1C9AD6","Rosado, D.","0","0","6","0","0","0","14","0","75","0"
"6","#1C9AD6","Morgan, T.","56","0","0","0","0","0","0","0","5","12"
"7","#1C9AD6","Grant, N.","32","-36","0","0","0","0","0","0","5","24"
"8","#1C9AD6","Lohman, M.","0","0","0","0","12","0","0","0","10","0"
"9","#1C9AD6","Toliver, H.","0","0","0","0","0","0","0","0","5","0"
"10","#1C9AD6","Freeman, S.","0","0","0","0","0","0","0","0","0","0"
"11","#1C9AD6","Handley, E.","0","0","0","0","0","0","0","0","0","0"
"12","#8C4799","Atkinson, S.","80","0","1","0","0","0","0","0","25","12"
"13","#8C4799","Hunter, K.","0","0","30","0","0","0","0","0","55","24"
"14","#8C4799","Vélez Agosto, N.","0","0","1","0","0","0","14","0","50","0"
"15","#8C4799","Stalzer, L.","56","-60","0","0","0","0","34","-12","15","24"
"16","#8C4799","Holston, A.","56","-36","0","0","0","-8","0","0","10","12"
"17","#8C4799","Crocker, C.","8","0","0","-12","0","0","0","0","25","12"
"18","#8C4799","Holman, B.","32","-12","0","0","0","0","0","0","0","0"
"19","#8C4799","Aliyeva, O.","0","0","0","0","0","-8","2","0","5","0"
"20","#8C4799","Edmond, L.","48","-48","2","0","0","-16","14","-36","20","12"
"21","#8C4799","Bastianelli, A.","0","-12","0","0","0","-8","0","0","0","0"
"0","#8C4799","Peterson, A.","","","","","","","","","",""
