"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#1C9AD6","McClendon, D.","120","60"
"2","#1C9AD6","King, B.","120","60"
"3","#1C9AD6","Lowe, K.","120","60"
"4","#1C9AD6","Abbott, S.","120","60"
"5","#1C9AD6","Rosado, D.","120","60"
"6","#1C9AD6","Morgan, T.","120","60"
"7","#1C9AD6","Grant, N.","120","60"
"8","#1C9AD6","Lohman, M.","120","60"
"9","#1C9AD6","Toliver, H.","120","60"
"10","#1C9AD6","Freeman, S.","120","60"
"11","#1C9AD6","Handley, E.","120","60"
"12","#8C4799","Atkinson, S.","0","0"
"13","#8C4799","Hunter, K.","0","0"
"14","#8C4799","Vélez Agosto, N.","0","0"
"15","#8C4799","Stalzer, L.","0","0"
"16","#8C4799","Holston, A.","0","0"
"17","#8C4799","Crocker, C.","0","0"
"18","#8C4799","Holman, B.","0","0"
"19","#8C4799","Aliyeva, O.","0","0"
"20","#8C4799","Edmond, L.","0","0"
"21","#8C4799","Bastianelli, A.","0","0"
"0","#8C4799","Peterson, A.","",""
